[13:34:58] ============================================================
[13:34:58] [REALTIME MONITOR] Started - 10s interval
[13:34:58] ============================================================
[13:34:59] Price: $1960.00 | Vol: 1150 | Change: +0.02% | Status: Normal
[14:28:16] Price: $1962.24 | Vol: 59 | Change: +0.01% | Status: Normal
[14:28:26] Price: $1962.25 | Vol: 62 | Change: +0.01% | Status: Normal
[14:28:36] Price: $1962.24 | Vol: 72 | Change: +0.01% | Status: Normal
[14:28:46] Price: $1962.30 | Vol: 97 | Change: +0.02% | Status: Normal
[14:28:56] Price: $1962.62 | Vol: 581 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:29:06] Price: $1962.62 | Vol: 1 | Change: +0.00% | Status: Normal
[14:29:16] Price: $1962.62 | Vol: 5 | Change: +0.00% | Status: Normal
[14:29:26] Price: $1962.80 | Vol: 370 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:29:36] Price: $1962.81 | Vol: 406 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:29:46] Price: $1962.80 | Vol: 408 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:29:56] Price: $1962.81 | Vol: 420 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:30:06] Price: $1962.87 | Vol: 446 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:30:16] Price: $1963.41 | Vol: 1050 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:30:26] Price: $1963.21 | Vol: 1098 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:30:36] Price: $1963.18 | Vol: 1108 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:30:47] Price: $1963.17 | Vol: 1193 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:30:57] Price: $1963.11 | Vol: 1202 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:31:07] Price: $1962.79 | Vol: 38 | Change: -0.01% | Status: Normal
[14:31:17] Price: $1962.75 | Vol: 48 | Change: -0.01% | Status: Normal
[14:31:27] Price: $1962.72 | Vol: 90 | Change: -0.01% | Status: Normal
[14:31:37] Price: $1962.62 | Vol: 164 | Change: -0.02% | Status: Normal
[14:31:47] Price: $1962.44 | Vol: 229 | Change: -0.03% | Status: Normal
[14:31:57] Price: $1962.27 | Vol: 260 | Change: -0.04% | Status: Normal
[14:32:07] Price: $1962.26 | Vol: 14 | Change: +0.00% | Status: Normal
[14:32:17] Price: $1962.25 | Vol: 67 | Change: -0.00% | Status: Normal
[14:32:27] Price: $1962.24 | Vol: 128 | Change: -0.00% | Status: Normal
[14:32:37] Price: $1962.33 | Vol: 230 | Change: +0.00% | Status: Normal
[14:32:47] Price: $1962.49 | Vol: 307 | Change: +0.01% | Status: Normal
[14:32:57] Price: $1962.50 | Vol: 310 | Change: +0.01% | Status: Normal
[14:33:07] Price: $1962.45 | Vol: 13 | Change: -0.00% | Status: Normal
[14:33:17] Price: $1962.45 | Vol: 18 | Change: -0.00% | Status: Normal
[14:33:27] Price: $1962.46 | Vol: 65 | Change: -0.00% | Status: Normal
[14:33:37] Price: $1962.32 | Vol: 83 | Change: -0.01% | Status: Normal
[14:33:47] Price: $1962.32 | Vol: 85 | Change: -0.01% | Status: Normal
[14:33:57] Price: $1962.33 | Vol: 99 | Change: -0.01% | Status: Normal
[14:34:07] Price: $1962.33 | Vol: 117 | Change: -0.01% | Status: Normal
[14:34:18] Price: $1962.79 | Vol: 94 | Change: +0.02% | Status: Normal
[14:34:28] Price: $1962.82 | Vol: 151 | Change: +0.03% | Status: Normal
[14:34:38] Price: $1963.16 | Vol: 413 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[14:34:48] Price: $1963.15 | Vol: 434 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[14:34:58] Price: $1963.59 | Vol: 1112 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[14:35:08] Price: $1963.21 | Vol: 53 | Change: -0.01% | Status: Normal
[14:35:18] Price: $1963.07 | Vol: 154 | Change: -0.02% | Status: Normal
[14:35:28] Price: $1963.36 | Vol: 737 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:35:38] Price: $1962.98 | Vol: 1009 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:35:48] Price: $1962.79 | Vol: 1031 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[14:35:58] Price: $1962.71 | Vol: 1078 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:36:08] Price: $1962.49 | Vol: 125 | Change: -0.01% | Status: Normal
[14:36:18] Price: $1962.30 | Vol: 137 | Change: -0.02% | Status: Normal
[14:36:28] Price: $1962.31 | Vol: 148 | Change: -0.02% | Status: Normal
[14:36:38] Price: $1961.95 | Vol: 263 | Change: -0.04% | Status: Normal
[14:36:48] Price: $1961.76 | Vol: 547 | Change: -0.05% | Status: Normal
[14:36:58] Price: $1961.57 | Vol: 587 | Change: -0.06% | Status: Normal
[14:37:08] Price: $1961.67 | Vol: 0 | Change: +0.00% | Status: Normal
[14:37:18] Price: $1962.36 | Vol: 145 | Change: +0.04% | Status: Normal
[14:37:28] Price: $1962.36 | Vol: 197 | Change: +0.04% | Status: Normal
[14:37:38] Price: $1962.36 | Vol: 217 | Change: +0.04% | Status: Normal
[14:37:49] Price: $1962.36 | Vol: 291 | Change: +0.04% | Status: Normal
[14:37:59] Price: $1962.36 | Vol: 301 | Change: +0.04% | Status: Normal
[14:38:09] Price: $1962.35 | Vol: 10 | Change: -0.00% | Status: Normal
[14:38:19] Price: $1962.35 | Vol: 19 | Change: -0.00% | Status: Normal
[14:38:29] Price: $1962.35 | Vol: 30 | Change: -0.00% | Status: Normal
[14:38:39] Price: $1962.35 | Vol: 51 | Change: -0.00% | Status: Normal
[14:38:49] Price: $1962.34 | Vol: 102 | Change: -0.00% | Status: Normal
[14:38:59] Price: $1962.49 | Vol: 126 | Change: +0.01% | Status: Normal
[14:39:09] Price: $1962.50 | Vol: 3 | Change: +0.00% | Status: Normal
[14:39:19] Price: $1962.08 | Vol: 172 | Change: -0.02% | Status: Normal
[14:39:29] Price: $1961.68 | Vol: 213 | Change: -0.04% | Status: Normal
[14:39:39] Price: $1962.09 | Vol: 345 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:39:49] Price: $1962.10 | Vol: 355 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:39:59] Price: $1962.16 | Vol: 374 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:40:09] Price: $1962.20 | Vol: 1 | Change: +0.00% | Status: Normal
[14:40:19] Price: $1962.29 | Vol: 46 | Change: +0.01% | Status: Normal
[14:40:29] Price: $1962.30 | Vol: 67 | Change: +0.01% | Status: Normal
[14:40:39] Price: $1962.35 | Vol: 94 | Change: +0.01% | Status: Normal
[14:40:49] Price: $1962.36 | Vol: 103 | Change: +0.01% | Status: Normal
[14:40:59] Price: $1962.38 | Vol: 126 | Change: +0.01% | Status: Normal
[14:41:10] Price: $1962.39 | Vol: 19 | Change: +0.00% | Status: Normal
[14:41:20] Price: $1962.66 | Vol: 82 | Change: +0.01% | Status: Normal
[14:41:30] Price: $1962.96 | Vol: 137 | Change: +0.03% | Status: Normal
[14:41:40] Price: $1962.99 | Vol: 177 | Change: +0.03% | Status: Normal
[14:41:50] Price: $1962.99 | Vol: 179 | Change: +0.03% | Status: Normal
[14:42:00] Price: $1963.03 | Vol: 231 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:42:10] Price: $1962.80 | Vol: 155 | Change: -0.01% | Status: Normal
[14:42:20] Price: $1962.80 | Vol: 191 | Change: -0.01% | Status: Normal
[14:42:30] Price: $1962.80 | Vol: 191 | Change: -0.01% | Status: Normal
[14:42:40] Price: $1962.73 | Vol: 316 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:42:50] Price: $1962.73 | Vol: 320 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:43:00] Price: $1962.72 | Vol: 323 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:43:10] Price: $1962.72 | Vol: 13 | Change: -0.00% | Status: Normal
[14:43:20] Price: $1962.73 | Vol: 18 | Change: +0.00% | Status: Normal
[14:43:30] Price: $1962.73 | Vol: 31 | Change: +0.00% | Status: Normal
[14:43:40] Price: $1962.61 | Vol: 68 | Change: -0.01% | Status: Normal
[14:43:50] Price: $1962.62 | Vol: 86 | Change: -0.01% | Status: Normal
[14:44:00] Price: $1962.62 | Vol: 96 | Change: -0.01% | Status: Normal
[14:44:10] Price: $1962.62 | Vol: 8 | Change: +0.00% | Status: Normal
[14:44:20] Price: $1962.63 | Vol: 19 | Change: +0.00% | Status: Normal
[14:44:31] Price: $1962.62 | Vol: 21 | Change: +0.00% | Status: Normal
[14:44:41] Price: $1962.69 | Vol: 37 | Change: +0.00% | Status: Normal
[14:44:51] Price: $1962.71 | Vol: 61 | Change: +0.00% | Status: Normal
[14:45:01] Price: $1962.82 | Vol: 111 | Change: +0.01% | Status: Normal
[14:45:11] Price: $1962.95 | Vol: 41 | Change: +0.01% | Status: Normal
[14:45:21] Price: $1962.82 | Vol: 127 | Change: -0.00% | Status: Normal
[14:45:31] Price: $1962.82 | Vol: 143 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:45:41] Price: $1962.77 | Vol: 230 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:45:51] Price: $1962.93 | Vol: 286 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:46:01] Price: $1963.00 | Vol: 303 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:46:11] Price: $1963.01 | Vol: 196 | Change: +0.00% | Status: Normal
[14:46:21] Price: $1963.00 | Vol: 207 | Change: +0.00% | Status: Normal
[14:46:31] Price: $1963.01 | Vol: 217 | Change: +0.00% | Status: Normal
[14:46:41] Price: $1963.00 | Vol: 219 | Change: +0.00% | Status: Normal
[14:46:51] Price: $1962.70 | Vol: 304 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:47:01] Price: $1962.70 | Vol: 325 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:47:11] Price: $1962.51 | Vol: 22 | Change: -0.01% | Status: Normal
[14:47:21] Price: $1962.35 | Vol: 53 | Change: -0.02% | Status: Normal
[14:47:31] Price: $1961.80 | Vol: 239 | Change: -0.05% | Status: Normal
[14:47:41] Price: $1961.69 | Vol: 330 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[14:47:51] Price: $1961.69 | Vol: 354 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[14:48:02] Price: $1961.93 | Vol: 436 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:48:12] Price: $1961.41 | Vol: 227 | Change: -0.03% | Status: Normal
[14:48:22] Price: $1961.40 | Vol: 247 | Change: -0.03% | Status: Normal
[14:48:32] Price: $1961.41 | Vol: 276 | Change: -0.03% | Status: Normal
[14:48:42] Price: $1961.16 | Vol: 373 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:48:52] Price: $1961.16 | Vol: 391 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:49:02] Price: $1961.17 | Vol: 0 | Change: +0.00% | Status: Normal
[14:49:12] Price: $1961.16 | Vol: 34 | Change: +0.00% | Status: Normal
[14:49:22] Price: $1961.04 | Vol: 110 | Change: -0.01% | Status: Normal
[14:49:32] Price: $1960.94 | Vol: 269 | Change: -0.01% | Status: Normal
[14:49:42] Price: $1960.94 | Vol: 290 | Change: -0.01% | Status: Normal
[14:49:52] Price: $1960.80 | Vol: 341 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:50:02] Price: $1960.80 | Vol: 400 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:50:12] Price: $1960.80 | Vol: 10 | Change: +0.00% | Status: Normal
[14:50:22] Price: $1960.80 | Vol: 45 | Change: +0.00% | Status: Normal
[14:50:32] Price: $1960.79 | Vol: 57 | Change: +0.00% | Status: Normal
[14:50:42] Price: $1960.83 | Vol: 203 | Change: +0.00% | Status: Normal
[14:50:52] Price: $1960.82 | Vol: 215 | Change: +0.00% | Status: Normal
[14:51:02] Price: $1960.95 | Vol: 366 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:51:12] Price: $1960.98 | Vol: 23 | Change: +0.00% | Status: Normal
[14:51:23] Price: $1960.98 | Vol: 47 | Change: +0.00% | Status: Normal
[14:51:33] Price: $1960.98 | Vol: 49 | Change: +0.00% | Status: Normal
[14:51:43] Price: $1960.99 | Vol: 86 | Change: +0.00% | Status: Normal
[14:51:53] Price: $1960.98 | Vol: 96 | Change: +0.00% | Status: Normal
[14:52:03] Price: $1960.99 | Vol: 110 | Change: +0.00% | Status: Normal
[14:52:13] Price: $1961.47 | Vol: 110 | Change: +0.02% | Status: Normal
[14:52:23] Price: $1961.48 | Vol: 215 | Change: +0.02% | Status: Normal
[14:52:33] Price: $1961.48 | Vol: 303 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:52:43] Price: $1961.48 | Vol: 308 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:52:53] Price: $1961.48 | Vol: 342 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:53:03] Price: $1961.70 | Vol: 367 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[14:53:13] Price: $1962.13 | Vol: 142 | Change: +0.02% | Status: Normal
[14:53:23] Price: $1962.14 | Vol: 154 | Change: +0.02% | Status: Normal
[14:53:33] Price: $1962.13 | Vol: 167 | Change: +0.02% | Status: Normal
[14:53:43] Price: $1961.98 | Vol: 219 | Change: +0.01% | Status: Normal
[14:53:53] Price: $1961.98 | Vol: 220 | Change: +0.01% | Status: Normal
[14:54:03] Price: $1961.98 | Vol: 225 | Change: +0.01% | Status: Normal
[14:54:13] Price: $1962.03 | Vol: 17 | Change: +0.00% | Status: Normal
[14:54:23] Price: $1961.99 | Vol: 50 | Change: +0.00% | Status: Normal
[14:54:33] Price: $1961.83 | Vol: 83 | Change: -0.01% | Status: Normal
[14:54:43] Price: $1961.82 | Vol: 89 | Change: -0.01% | Status: Normal
[14:54:54] Price: $1961.70 | Vol: 126 | Change: -0.01% | Status: Normal
[14:55:04] Price: $1961.46 | Vol: 271 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[14:55:14] Price: $1961.55 | Vol: 53 | Change: +0.00% | Status: Normal
[14:55:24] Price: $1961.17 | Vol: 204 | Change: -0.02% | Status: Normal
[14:55:34] Price: $1961.04 | Vol: 246 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:55:44] Price: $1961.03 | Vol: 253 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:55:54] Price: $1961.25 | Vol: 435 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:56:04] Price: $1961.25 | Vol: 450 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:56:14] Price: $1961.24 | Vol: 3 | Change: -0.00% | Status: Normal
[14:56:24] Price: $1961.03 | Vol: 73 | Change: -0.01% | Status: Normal
[14:56:34] Price: $1961.04 | Vol: 85 | Change: -0.01% | Status: Normal
[14:56:44] Price: $1961.03 | Vol: 153 | Change: -0.01% | Status: Normal
[14:56:54] Price: $1961.04 | Vol: 177 | Change: -0.01% | Status: Normal
[14:57:04] Price: $1961.04 | Vol: 1 | Change: +0.00% | Status: Normal
[14:57:14] Price: $1961.04 | Vol: 19 | Change: +0.00% | Status: Normal
[14:57:24] Price: $1961.04 | Vol: 23 | Change: +0.00% | Status: Normal
[14:57:34] Price: $1960.84 | Vol: 106 | Change: -0.01% | Status: Normal
[14:57:44] Price: $1960.84 | Vol: 261 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:57:54] Price: $1960.70 | Vol: 312 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:58:04] Price: $1960.70 | Vol: 441 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:58:14] Price: $1960.80 | Vol: 150 | Change: +0.01% | Status: Normal
[14:58:25] Price: $1961.01 | Vol: 194 | Change: +0.02% | Status: Normal
[14:58:35] Price: $1961.01 | Vol: 213 | Change: +0.02% | Status: Normal
[14:58:45] Price: $1961.36 | Vol: 493 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:58:55] Price: $1961.13 | Vol: 577 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:59:05] Price: $1961.13 | Vol: 1 | Change: +0.00% | Status: Normal
[14:59:15] Price: $1961.03 | Vol: 36 | Change: -0.01% | Status: Normal
[14:59:25] Price: $1961.03 | Vol: 61 | Change: -0.01% | Status: Normal
[14:59:35] Price: $1961.02 | Vol: 68 | Change: -0.01% | Status: Normal
[14:59:45] Price: $1962.01 | Vol: 1174 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[14:59:55] Price: $1962.01 | Vol: 1175 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:00:05] Price: $1962.01 | Vol: 20 | Change: +0.00% | Status: Normal
[15:00:15] Price: $1962.32 | Vol: 212 | Change: +0.02% | Status: Normal
[15:00:25] Price: $1961.91 | Vol: 737 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:00:35] Price: $1962.55 | Vol: 1943 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[15:00:45] Price: $1962.60 | Vol: 1962 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[15:00:55] Price: $1962.75 | Vol: 2106 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:01:05] Price: $1962.55 | Vol: 7 | Change: -0.00% | Status: Normal
[15:01:15] Price: $1962.56 | Vol: 120 | Change: -0.00% | Status: Normal
[15:01:25] Price: $1962.56 | Vol: 132 | Change: -0.00% | Status: Normal
[15:01:35] Price: $1962.46 | Vol: 141 | Change: -0.01% | Status: Normal
[15:01:46] Price: $1962.45 | Vol: 166 | Change: -0.01% | Status: Normal
[15:01:56] Price: $1962.34 | Vol: 259 | Change: -0.01% | Status: Normal
[15:02:06] Price: $1962.16 | Vol: 380 | Change: -0.02% | Status: Normal
[15:02:16] Price: $1962.34 | Vol: 12 | Change: +0.00% | Status: Normal
[15:02:26] Price: $1962.33 | Vol: 25 | Change: -0.00% | Status: Normal
[15:02:36] Price: $1962.53 | Vol: 141 | Change: +0.01% | Status: Normal
[15:02:46] Price: $1962.21 | Vol: 181 | Change: -0.01% | Status: Normal
[15:02:56] Price: $1962.19 | Vol: 211 | Change: -0.01% | Status: Normal
[15:03:06] Price: $1962.05 | Vol: 27 | Change: -0.01% | Status: Normal
[15:03:16] Price: $1961.80 | Vol: 226 | Change: -0.02% | Status: Normal
[15:03:26] Price: $1961.99 | Vol: 2578 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:03:36] Price: $1962.02 | Vol: 2599 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:03:46] Price: $1962.43 | Vol: 2745 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:03:56] Price: $1962.71 | Vol: 2803 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[15:04:06] Price: $1962.56 | Vol: 38 | Change: -0.01% | Status: Normal
[15:04:16] Price: $1962.81 | Vol: 79 | Change: +0.01% | Status: Normal
[15:04:26] Price: $1962.56 | Vol: 192 | Change: -0.01% | Status: Normal
[15:04:36] Price: $1962.69 | Vol: 239 | Change: +0.00% | Status: Normal
[15:04:46] Price: $1962.69 | Vol: 245 | Change: +0.00% | Status: Normal
[15:04:57] Price: $1962.69 | Vol: 257 | Change: +0.00% | Status: Normal
[15:05:07] Price: $1962.70 | Vol: 0 | Change: +0.00% | Status: Normal
[15:05:17] Price: $1962.16 | Vol: 499 | Change: -0.03% | Status: Normal
[15:05:27] Price: $1962.09 | Vol: 506 | Change: -0.03% | Status: Normal
[15:05:37] Price: $1962.34 | Vol: 613 | Change: -0.02% | Status: Normal
[15:05:47] Price: $1962.34 | Vol: 619 | Change: -0.02% | Status: Normal
[15:05:57] Price: $1962.53 | Vol: 674 | Change: -0.01% | Status: Normal
[15:06:07] Price: $1962.90 | Vol: 5 | Change: +0.00% | Status: Normal
[15:06:17] Price: $1963.18 | Vol: 366 | Change: +0.01% | Status: Normal
[15:06:27] Price: $1962.95 | Vol: 781 | Change: +0.00% | Status: Normal
[15:06:37] Price: $1962.91 | Vol: 893 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[15:06:47] Price: $1963.11 | Vol: 934 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:06:57] Price: $1963.20 | Vol: 1061 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[15:07:07] Price: $1962.80 | Vol: 1 | Change: +0.00% | Status: Normal
[15:07:17] Price: $1962.72 | Vol: 66 | Change: -0.00% | Status: Normal
[15:07:27] Price: $1962.71 | Vol: 139 | Change: -0.00% | Status: Normal
[15:07:37] Price: $1962.91 | Vol: 245 | Change: +0.01% | Status: Normal
[15:07:47] Price: $1962.72 | Vol: 314 | Change: -0.00% | Status: Normal
[15:07:57] Price: $1962.51 | Vol: 388 | Change: -0.01% | Status: Normal
[15:08:07] Price: $1962.51 | Vol: 6 | Change: +0.00% | Status: Normal
[15:08:18] Price: $1962.50 | Vol: 9 | Change: +0.00% | Status: Normal
[15:08:28] Price: $1962.51 | Vol: 177 | Change: +0.00% | Status: Normal
[15:08:38] Price: $1961.99 | Vol: 511 | Change: -0.03% | Status: Normal
[15:08:48] Price: $1961.99 | Vol: 527 | Change: -0.03% | Status: Normal
[15:08:58] Price: $1961.99 | Vol: 552 | Change: -0.03% | Status: Normal
[15:09:08] Price: $1962.23 | Vol: 1270 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[15:09:18] Price: $1962.12 | Vol: 1297 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:09:28] Price: $1962.12 | Vol: 1337 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:09:38] Price: $1962.13 | Vol: 1377 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[15:09:48] Price: $1962.22 | Vol: 1484 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[15:09:58] Price: $1961.88 | Vol: 1836 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[15:10:08] Price: $1961.89 | Vol: 0 | Change: +0.00% | Status: Normal
[15:10:18] Price: $1962.39 | Vol: 712 | Change: +0.03% | Status: Normal
[15:10:28] Price: $1962.38 | Vol: 724 | Change: +0.02% | Status: Normal
[15:10:38] Price: $1962.38 | Vol: 783 | Change: +0.02% | Status: Normal
[15:10:48] Price: $1962.87 | Vol: 861 | Change: +0.05% | Status: Normal
[15:10:59] Price: $1962.86 | Vol: 883 | Change: +0.05% | Status: Normal
[15:11:09] Price: $1962.87 | Vol: 2 | Change: +0.00% | Status: Normal
[15:11:19] Price: $1962.86 | Vol: 20 | Change: -0.00% | Status: Normal
[15:11:29] Price: $1963.21 | Vol: 136 | Change: +0.02% | Status: Normal
[15:11:39] Price: $1963.22 | Vol: 407 | Change: +0.02% | Status: Normal
[15:11:49] Price: $1962.75 | Vol: 1622 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[15:11:59] Price: $1963.00 | Vol: 1793 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[15:12:09] Price: $1963.09 | Vol: 12 | Change: +0.00% | Status: Normal
[15:12:19] Price: $1963.67 | Vol: 335 | Change: +0.03% | Status: Normal
[15:12:29] Price: $1964.58 | Vol: 2019 | Change: +0.08% | Status: 🚨 SPIKE DETECTED
[15:12:39] Price: $1964.84 | Vol: 2385 | Change: +0.09% | Status: 🚨 SPIKE DETECTED
[15:12:49] Price: $1964.94 | Vol: 2828 | Change: +0.10% | Status: 🚨 SPIKE DETECTED
[15:12:59] Price: $1965.07 | Vol: 3722 | Change: +0.10% | Status: 🚨 SPIKE DETECTED
[15:13:09] Price: $1965.09 | Vol: 18 | Change: +0.00% | Status: Normal
[15:13:19] Price: $1964.33 | Vol: 329 | Change: -0.04% | Status: Normal
[15:13:29] Price: $1964.87 | Vol: 1037 | Change: -0.01% | Status: Normal
[15:13:39] Price: $1964.93 | Vol: 1288 | Change: -0.01% | Status: Normal
[15:13:49] Price: $1965.39 | Vol: 1386 | Change: +0.02% | Status: Normal
[15:13:59] Price: $1965.26 | Vol: 1606 | Change: +0.01% | Status: Normal
[15:14:10] Price: $1965.00 | Vol: 115 | Change: -0.01% | Status: Normal
[15:14:20] Price: $1965.21 | Vol: 233 | Change: +0.00% | Status: Normal
[15:14:30] Price: $1965.21 | Vol: 251 | Change: +0.00% | Status: Normal
[15:14:40] Price: $1964.82 | Vol: 511 | Change: -0.02% | Status: Normal
[15:14:50] Price: $1964.95 | Vol: 567 | Change: -0.01% | Status: Normal
[15:15:00] Price: $1964.95 | Vol: 677 | Change: -0.01% | Status: Normal
[15:15:10] Price: $1964.95 | Vol: 28 | Change: -0.00% | Status: Normal
[15:15:20] Price: $1965.01 | Vol: 265 | Change: +0.00% | Status: Normal
[15:15:30] Price: $1964.58 | Vol: 369 | Change: -0.02% | Status: Normal
[15:15:40] Price: $1964.91 | Vol: 410 | Change: -0.00% | Status: Normal
[15:15:50] Price: $1964.86 | Vol: 508 | Change: -0.01% | Status: Normal
[15:16:00] Price: $1964.72 | Vol: 569 | Change: -0.01% | Status: Normal
[15:16:10] Price: $1964.49 | Vol: 63 | Change: -0.01% | Status: Normal
[15:16:20] Price: $1964.67 | Vol: 445 | Change: -0.00% | Status: Normal
[15:16:30] Price: $1964.78 | Vol: 452 | Change: +0.00% | Status: Normal
[15:16:40] Price: $1964.69 | Vol: 503 | Change: -0.00% | Status: Normal
[15:16:50] Price: $1964.11 | Vol: 542 | Change: -0.03% | Status: Normal
[15:17:01] Price: $1964.42 | Vol: 648 | Change: -0.02% | Status: Normal
[15:17:11] Price: $1964.42 | Vol: 16 | Change: -0.00% | Status: Normal
[15:17:21] Price: $1964.43 | Vol: 33 | Change: +0.00% | Status: Normal
[15:17:31] Price: $1964.00 | Vol: 85 | Change: -0.02% | Status: Normal
[15:17:41] Price: $1963.92 | Vol: 179 | Change: -0.03% | Status: Normal
[15:17:51] Price: $1963.91 | Vol: 272 | Change: -0.03% | Status: Normal
[15:18:01] Price: $1963.72 | Vol: 313 | Change: -0.04% | Status: Normal
[15:18:11] Price: $1963.72 | Vol: 185 | Change: +0.00% | Status: Normal
[15:18:21] Price: $1964.33 | Vol: 362 | Change: +0.03% | Status: Normal
[15:18:31] Price: $1964.32 | Vol: 367 | Change: +0.03% | Status: Normal
[15:18:41] Price: $1964.74 | Vol: 618 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[15:18:51] Price: $1964.74 | Vol: 648 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[15:19:01] Price: $1965.17 | Vol: 1194 | Change: +0.07% | Status: 🚨 SPIKE DETECTED
[15:19:11] Price: $1965.16 | Vol: 12 | Change: -0.00% | Status: Normal
[15:19:21] Price: $1964.80 | Vol: 121 | Change: -0.02% | Status: Normal
[15:19:32] Price: $1964.74 | Vol: 252 | Change: -0.02% | Status: Normal
[15:19:42] Price: $1964.51 | Vol: 357 | Change: -0.03% | Status: Normal
[15:19:52] Price: $1964.31 | Vol: 394 | Change: -0.04% | Status: Normal
[15:20:02] Price: $1964.30 | Vol: 456 | Change: -0.04% | Status: Normal
[15:20:12] Price: $1963.86 | Vol: 113 | Change: -0.02% | Status: Normal
[15:20:22] Price: $1964.31 | Vol: 278 | Change: +0.00% | Status: Normal
[15:20:32] Price: $1964.30 | Vol: 288 | Change: -0.00% | Status: Normal
[15:20:42] Price: $1964.41 | Vol: 411 | Change: +0.01% | Status: Normal
